,Code,Name,Country,Exchange,Currency,Type,Isin
36,ACAB,Atlantic Coastal Acquisition Corp II,USA,NASDAQ,USD,Common Stock,US04845A1088
37,ACABU,Atlantic Coastal Acquisition Corp II Unit,USA,NASDAQ,USD,Unit,US04845A2078
38,ACABW,Atlantic Coastal Acquisition Corp. II Warrant,USA,NASDAQ,USD,Common Stock,
39,ACAC,Acri Capital Acquisition Corporation,USA,NASDAQ,USD,Common Stock,
40,ACACU,Acri Capital Acquisition Corporation Unit,USA,NASDAQ,USD,Unit,KYG0103T1215
41,ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
42,ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
43,ACAH,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484531043
44,ACAHU,Atlantic Coastal Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US0484532033
45,ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
46,ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
47,ACBA,Ace Global Business Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0083E1025
48,ACBAU,Ace Global Business Acquisition Ltd Unit,USA,NASDAQ,USD,Unit,VGG0083E1280
49,ACBAW,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,
50,ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
51,ACDC,ProFrac Holding Corp.,USA,NASDAQ,USD,Common Stock,
52,ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
53,ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
54,ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Preferred Stock,
55,ACGLO,Arch Capital Group Ltd.,USA,NASDAQ,USD,Preferred Stock,US03939A1079
56,ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
57,ACHL,Achilles Therapeutics PLC ADR,USA,NASDAQ,USD,Common Stock,US00449L1026
58,ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
59,ACIC,American Coastal Insurance Corp,USA,NASDAQ,USD,Common Stock,US9107101027
60,ACIU,AC Immune Ltd,USA,NASDAQ,USD,Common Stock,CH0329023102
61,ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
62,ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
63,ACLX,Arcellx Inc,USA,NASDAQ,USD,Common Stock,US03940C1009
64,ACMR,Acm Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
65,ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
66,ACNT,Synalloy Corporation,USA,NASDAQ,USD,Common Stock,
67,ACON,Aclarion Inc,USA,NASDAQ,USD,Common Stock,US6551871022
68,ACONW,Aclarion Inc,USA,NASDAQ,USD,Common Stock,
69,ACOR,Acorda Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00484M6012
70,ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
71,ACRV,Acrivon Therapeutics Inc. Common Stock,USA,NASDAQ,USD,Common Stock,US0048901096
72,ACRX,AcelRx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00444T1007
73,ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K8730
74,ACT,Enact Holdings Inc,USA,NASDAQ,USD,Common Stock,US29249E1091
75,ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
76,ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
77,ACWI,iShares MSCI ACWI ETF,USA,NASDAQ,USD,ETF,US4642882579
78,ACWX,iShares MSCI ACWI ex U.S. ETF,USA,NASDAQ,USD,ETF,US4642882405
79,ACXP,Acurx Pharmaceuticals LLC,USA,NASDAQ,USD,Common Stock,US00510M1045
80,ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
81,ADAP,Adaptimmune Therapeutics Plc,USA,NASDAQ,USD,Common Stock,US00653A1079
82,ADBE,Adobe Systems Incorporated,USA,NASDAQ,USD,Common Stock,US00724F1012
83,ADC-PA,Agree Realty Corporation,USA,NASDAQ,USD,Preferred Stock,
84,ADD,Color Star Technology Co. Ltd.,USA,NASDAQ,USD,Common Stock,
85,ADEA,ADEIA CORP,USA,NASDAQ,USD,Common Stock,US98390M1036
86,ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
87,ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
88,ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
89,ADN,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,US00788A1051
90,ADNWW,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,
91,ADOC,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG4000A1022
92,ADOCR,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
93,ADOCW,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
94,ADP,Automatic Data Processing Inc,USA,NASDAQ,USD,Common Stock,US0530151036
95,ADPT,Adaptive Biotechnologies Corp,USA,NASDAQ,USD,Common Stock,US00650F1093
96,ADSE,Ads Tec Energy PLC,USA,NASDAQ,USD,Common Stock,IE000DU292E6
97,ADSEW,ADS-TEC ENERGY PLC Warrant,USA,NASDAQ,USD,Common Stock,
98,ADSK,Autodesk Inc,USA,NASDAQ,USD,Common Stock,US0527691069
99,ADTH,AdTheorent Holding Company Inc,USA,NASDAQ,USD,Common Stock,US00739D1090
100,ADTHW,AdTheorent Holding Company Inc,USA,NASDAQ,USD,Common Stock,
101,ADTN,ADTRAN Inc,USA,NASDAQ,USD,Common Stock,US00738A1060
102,ADTX,Aditxt Inc. ,USA,NASDAQ,USD,Common Stock,US0070251097
103,ADUS,Addus HomeCare Corporation,USA,NASDAQ,USD,Common Stock,US0067391062
104,ADV,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,US00791N1028
105,ADVM,Adverum Biotechnologies Inc,USA,NASDAQ,USD,Common Stock,US00773U1088
106,ADVWW,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,
107,ADXN,Addex Therapeutics Ltd,USA,NASDAQ,USD,Common Stock,US00654J1079
108,AEAE,Altenergy Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02157M1080
109,AEAEU,Altenergy Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US02157M2070
110,AEAEW,AltEnergy Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
111,AEHL,Antelope Enterprise Holdings Ltd,USA,NASDAQ,USD,Common Stock,VGG041JN1065
112,AEHR,Aehr Test Systems,USA,NASDAQ,USD,Common Stock,US00760J1088
113,AEI,Alset Ehome International Inc,USA,NASDAQ,USD,Common Stock,US02116A1043
114,AEIS,Advanced Energy Industries Inc,USA,NASDAQ,USD,Common Stock,US0079731008
115,AEL-PB,American Equity Investment Life Holding Company,USA,NASDAQ,USD,Preferred Stock,
116,AEMD,Aethlon Medical Inc,USA,NASDAQ,USD,Common Stock,US00808Y3071
117,AENT,Alliance Entertainment Holding Corporation Class A Common Stock,USA,NASDAQ,USD,Common Stock,
118,AENTW,Alliance Entertainment Holding Corporation Warrants,USA,NASDAQ,USD,Common Stock,
119,AEP,American Electric Power Company Inc,USA,NASDAQ,USD,Common Stock,US0255371017
120,AERT,Aeries Technology Inc.,USA,NASDAQ,USD,Common Stock,
121,AERTW,Aeries Technology Inc.,USA,NASDAQ,USD,Common Stock,
122,AEYE,AudioEye Inc,USA,NASDAQ,USD,Common Stock,US0507342014
123,AEZS,Aeterna Zentaris Inc,USA,NASDAQ,USD,Common Stock,CA0079754028
124,AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG063621000
125,AFARU,Aura FAT Projects Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG063621182
126,AFARW,Aura FAT Projects Acquisition Corp Warrant,USA,NASDAQ,USD,Common Stock,
127,AFBI,Affinity Bancshares Inc,USA,NASDAQ,USD,Common Stock,US00832E1038
128,AFCG,AFC Gamma Inc,USA,NASDAQ,USD,Common Stock,US00109K1051
129,AFIB,Acutus Medical Inc,USA,NASDAQ,USD,Common Stock,US0051111096
130,AFJKR,"Aimei Health Technology Co., Ltd Right",USA,NASDAQ,USD,Common Stock,
131,AFJKU,Aimei Health Technology Co. Ltd Unit,USA,NASDAQ,USD,Common Stock,
132,AFMD,Affimed NV,USA,NASDAQ,USD,Common Stock,NL0010872420
133,AFRI,Forafric Global PLC Ordinary Shares,USA,NASDAQ,USD,Common Stock,GI000A3DNK69
134,AFRIW,Forafric Global PLC Warrants,USA,NASDAQ,USD,Common Stock,
135,AFRM,Affirm Holdings Inc,USA,NASDAQ,USD,Common Stock,US00827B1061
136,AFYA,Afya Ltd,USA,NASDAQ,USD,Common Stock,KYG011251066
137,AGAE,Allied Gaming & Entertainment Inc.,USA,NASDAQ,USD,Common Stock,US0191701095
138,AGBA,AGBA Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0120M1095
139,AGBAW,AGBA Acquisition Limited,USA,NASDAQ,USD,Common Stock,
140,AGEN,Agenus Inc,USA,NASDAQ,USD,Common Stock,US00847G7051
141,AGFY,Agrify Corp,USA,NASDAQ,USD,Common Stock,US00853E1073
142,AGIO,Agios Pharm,USA,NASDAQ,USD,Common Stock,US00847X1046
143,AGMH,AGM Group Holdings Inc Class A,USA,NASDAQ,USD,Common Stock,VGG0132V1058
144,AGNC,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,US00123Q1040
145,AGNCL,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,
146,AGNCM,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
147,AGNCN,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,US00123Q5009
148,AGNCO,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
149,AGNCP,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,US00123Q1040
150,AGNG,Global X Aging Population ETF,USA,NASDAQ,USD,ETF,US37954Y7720
151,AGRI,AgriFORCE Growing Systems Ltd,USA,NASDAQ,USD,Common Stock,CAC009481069
152,AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,USA,NASDAQ,USD,Common Stock,
153,AGRX,Agile Thrpe,USA,NASDAQ,USD,Common Stock,US00847L1008
154,AGYS,Agilysys Inc,USA,NASDAQ,USD,Common Stock,US00847J1051
155,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,USA,NASDAQ,USD,ETF,US97717W3806
156,AHCO,Adapthealth Corp,USA,NASDAQ,USD,Common Stock,US00653Q1022
157,AHG,Akso Health Group ADR,USA,NASDAQ,USD,Common Stock,US98422P1084
158,AIA,iShares Asia 50 ETF,USA,NASDAQ,USD,ETF,US4642884302
159,AIB,AIB Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0R45S1096
160,AIBBR,AIB Acquisition Corporation Right,USA,NASDAQ,USD,Common Stock,
161,AIBBU,AIB Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG0R45S1252
162,AIH,Aesthetic Medical Intl Holding Ltd,USA,NASDAQ,USD,Common Stock,US00809M1045
163,AIHS,Senmiao Technology Ltd,USA,NASDAQ,USD,Common Stock,US8172252046
164,AIMAU,Aimfinity Investment I Corp Unit,USA,NASDAQ,USD,Unit,KYG0135E1008
165,AIMAW,Aimfinity Investment Corp. I Warrant,USA,NASDAQ,USD,Common Stock,
166,AIMBU,Aimfinity Investment Corp. I Subunit,USA,NASDAQ,USD,Unit,
167,AIMD,Ainos Inc,USA,NASDAQ,USD,Common Stock,US00902F1057
168,AIMDW,Ainos Inc.,USA,NASDAQ,USD,Common Stock,
169,AIP,Arteris Inc,USA,NASDAQ,USD,Common Stock,US04302A1043
170,AIQ,Global X Artificial Intelligence & Technology ETF,USA,NASDAQ,USD,ETF,US37954Y6326
171,AIRE,reAlpha Tech Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
172,AIRG,Airgain Inc,USA,NASDAQ,USD,Common Stock,US00938A1043
173,AIRJ,Montana Technologies Corporation,USA,NASDAQ,USD,Common Stock,
174,AIRJW,Montana Technologies Corporation,USA,NASDAQ,USD,Common Stock,
175,AIRL,Themes Airlines ETF,USA,NASDAQ,USD,ETF,
176,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,USA,NASDAQ,USD,ETF,US33738R7044
177,AIRS,Airsculpt Technologies Inc,USA,NASDAQ,USD,Common Stock,US0094961002
178,AIRT,Air T Inc,USA,NASDAQ,USD,Common Stock,US0092071010
179,AIRTP,Air T Inc PR,USA,NASDAQ,USD,Preferred Stock,US00919P3029
180,AISP,Airship AI Holdings Inc,USA,NASDAQ,USD,Common Stock,
181,AISPW,Airship AI Holdings Inc,USA,NASDAQ,USD,Common Stock,
182,AITRR,AI TRANSPORTATION ACQUISITION CORP Right,USA,NASDAQ,USD,Common Stock,
183,AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,USA,NASDAQ,USD,Common Stock,
184,AIXI,XIAO-I Corporation American Depositary Shares,USA,NASDAQ,USD,Common Stock,
185,AKAM,Akamai Technologies Inc,USA,NASDAQ,USD,Common Stock,US00971T1016
186,AKAN,Akanda Corp,USA,NASDAQ,USD,Common Stock,CA00971M1068
187,AKBA,Akebia Ther,USA,NASDAQ,USD,Common Stock,US00972D1054
188,AKLI,Akili Inc,USA,NASDAQ,USD,Common Stock,
189,AKRO,Akero Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00973Y1082
190,AKTS,Akoustis Technologies Inc,USA,NASDAQ,USD,Common Stock,US00973N1028
191,AKTX,Akari Therapeutics PLC,USA,NASDAQ,USD,Common Stock,US00972G1085
192,AKYA,Akoya Biosciences Inc,USA,NASDAQ,USD,Common Stock,US00974H1041
193,ALAR,Alarum Technologies Ltd.,USA,NASDAQ,USD,Common Stock,
194,ALBT,Avalon GloboCare Corp.,USA,NASDAQ,USD,Common Stock,
195,ALCE,Alternus Energy Group Plc,USA,NASDAQ,USD,Common Stock,
196,ALCO,Alico Inc,USA,NASDAQ,USD,Common Stock,US0162301040
197,ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,
198,ALCYU,Alchemy Investments Acquisition Corp 1 Units,USA,NASDAQ,USD,Common Stock,
199,ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,USA,NASDAQ,USD,Common Stock,
200,ALDX,Aldeyra The,USA,NASDAQ,USD,Common Stock,US01438T1060
201,ALEC,Alector Inc,USA,NASDAQ,USD,Common Stock,US0144421072
202,ALGM,Allegro Microsystems Inc,USA,NASDAQ,USD,Common Stock,US01749D1054
203,ALGN,Align Technology Inc,USA,NASDAQ,USD,Common Stock,US0162551016
204,ALGS,Aligos Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US01626L1052
205,ALGT,Allegiant Travel Company,USA,NASDAQ,USD,Common Stock,US01748X1028
206,ALHC,Alignment Healthcare LLC,USA,NASDAQ,USD,Common Stock,US01625V1044
207,ALIM,Alimera Sciences Inc,USA,NASDAQ,USD,Common Stock,US0162592028
208,ALKS,Alkermes Plc,USA,NASDAQ,USD,Common Stock,IE00B56GVS15
209,ALKT,Alkami Technology Inc,USA,NASDAQ,USD,Common Stock,US01644J1088
210,ALLK,Allakos Inc,USA,NASDAQ,USD,Common Stock,US01671P1003
211,ALLO,Allogene Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0197701065
212,ALLR,Allarity Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0167441049
213,ALLT,Allot Communications Ltd,USA,NASDAQ,USD,Common Stock,IL0010996549
214,ALNT,Allient Inc.,USA,NASDAQ,USD,Common Stock,
215,ALNY,Alnylam Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US02043Q1076
216,ALOT,AstroNova Inc,USA,NASDAQ,USD,Common Stock,US04638F1084
217,ALPN,Alpine Immune Sciences Inc,USA,NASDAQ,USD,Common Stock,US02083G1004
218,ALPP,Alpine 4 Holdings Inc,USA,NASDAQ,USD,Common Stock,US02083E1055
219,ALRM,Alarm.com Holdings Inc,USA,NASDAQ,USD,Common Stock,US0116421050
220,ALRN,Aileron Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00887A1051
221,ALRS,Alerus Financial Corp,USA,NASDAQ,USD,Common Stock,US01446U1034
222,ALSA,Alpha Star Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0230C1087
223,ALSAR,Alpha Star Acquisition Corporation Rights,USA,NASDAQ,USD,Common Stock,
224,ALSAU,Alpha Star Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG0230C1244
225,ALSAW,Alpha Star Acquisition Corporation Warrants,USA,NASDAQ,USD,Common Stock,
226,ALT,Altimmune Inc,USA,NASDAQ,USD,Common Stock,US02155H2004
227,ALTI,Alvarium Tiedemann Holdings Inc.,USA,NASDAQ,USD,Common Stock,
228,ALTO,Alto Ingredients Inc,USA,NASDAQ,USD,Common Stock,US0215131063
229,ALTR,Altair Engineering Inc,USA,NASDAQ,USD,Common Stock,US0213691035
230,ALTU,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02156Y1038
231,ALTUU,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02156Y2028
232,ALTUW,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,
233,ALTY,Global X Alternative Income ETF,USA,NASDAQ,USD,ETF,US37954Y8066
234,ALVO,Alvotech,USA,NASDAQ,USD,Common Stock,LU2458332611
235,ALVOW,Alvotech Warrant,USA,NASDAQ,USD,Common Stock,
236,ALVR,Allovir Inc,USA,NASDAQ,USD,Common Stock,US0198181036
237,ALXO,Alx Oncology Holdings ,USA,NASDAQ,USD,Common Stock,US00166B1052
238,ALYAF,Alithya Group Inc,USA,NASDAQ,USD,Common Stock,
239,ALZN,Alzamend Neuro Inc,USA,NASDAQ,USD,Common Stock,US02262M3088
240,AMAL,Amalgamated Bank,USA,NASDAQ,USD,Common Stock,US0226711010
241,AMAM,Ambrx Biopharma Inc. American Depositary Shares,USA,NASDAQ,USD,Common Stock,US02290A1025
242,AMAT,Applied Materials Inc,USA,NASDAQ,USD,Common Stock,US0382221051
243,AMBA,Ambarella Inc,USA,NASDAQ,USD,Common Stock,KYG037AX1015
244,AMCX,AMC Networks Inc,USA,NASDAQ,USD,Common Stock,US00164V1035
245,AMD,Advanced Micro Devices Inc,USA,NASDAQ,USD,Common Stock,US0079031078
246,AMDS,GraniteShares 1x Short AMD Daily ETF,USA,NASDAQ,USD,ETF,
247,AMED,Amedisys Inc,USA,NASDAQ,USD,Common Stock,US0234361089
248,AMEH,Astrana Health Inc.,USA,NASDAQ,USD,Common Stock,
249,AMGN,Amgen Inc,USA,NASDAQ,USD,Common Stock,US0311621009
250,AMID,Argent Mid Cap ETF,USA,NASDAQ,USD,ETF,US02072L8393
251,AMIX,"Autonomix Medical, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,
252,AMKR,Amkor Technology Inc,USA,NASDAQ,USD,Common Stock,US0316521006
253,AMLI,American Lithium Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
254,AMLX,Amylyx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0321085088
255,AMNB,American National Bankshares Inc,USA,NASDAQ,USD,Common Stock,US0277451086
256,AMPG,Amplitech Group Inc,USA,NASDAQ,USD,Common Stock,US03211Q2003
257,AMPGW,AmpliTech Group Inc,USA,NASDAQ,USD,Common Stock,
258,AMPH,Amphastar P,USA,NASDAQ,USD,Common Stock,US03209R1032
259,AMPL,Amplitude Inc,USA,NASDAQ,USD,Common Stock,US03213A1043
260,AMRK,Amark Preci,USA,NASDAQ,USD,Common Stock,US00181T1079
261,AMRN,Amarin Corporation PLC,USA,NASDAQ,USD,Common Stock,US0231112063
262,AMSC,American Superconductor Corporation,USA,NASDAQ,USD,Common Stock,US0301112076
263,AMSF,AMERISAFE Inc,USA,NASDAQ,USD,Common Stock,US03071H1005
264,AMST,Amesite Operating Co,USA,NASDAQ,USD,Common Stock,US0310941051
265,AMSWA,American Software Inc,USA,NASDAQ,USD,Common Stock,US0296831094
266,AMTX,Aemetis Inc,USA,NASDAQ,USD,Common Stock,US00770K2024
267,AMWD,American Woodmark Corporation,USA,NASDAQ,USD,Common Stock,US0305061097
268,AMZD,Direxion Daily AMZN Bear 1X Shares,USA,NASDAQ,USD,ETF,US25461A5020
269,AMZN,Amazon.com Inc,USA,NASDAQ,USD,Common Stock,US0231351067
270,AMZU,Direxion Daily AMZN Bull 1.5X Shares,USA,NASDAQ,USD,ETF,US25461A8586
271,ANAB,AnaptysBio Inc,USA,NASDAQ,USD,Common Stock,US0327241065
272,ANDE,The Andersons Inc,USA,NASDAQ,USD,Common Stock,US0341641035
273,ANEB,Anebulo Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0345691036
274,ANGH,Anghami De Inc,USA,NASDAQ,USD,Common Stock,KYG0369L1014
275,ANGHW,Anghami Inc. Warrants,USA,NASDAQ,USD,Common Stock,
276,ANGI,ANGI Homeservices Inc,USA,NASDAQ,USD,Common Stock,US00183L1026
277,ANGL,VanEck Fallen Angel High Yield Bond ETF,USA,NASDAQ,USD,ETF,US92189F4375
278,ANGO,AngioDynamics Inc,USA,NASDAQ,USD,Common Stock,US03475V1017
279,ANIK,Anika Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0352551081
280,ANIP,ANI Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00182C1036
281,ANIX,Anixa Biosciences Inc,USA,NASDAQ,USD,Common Stock,US03528H1095
282,ANL,Adlai Nortye Ltd. American Depositary Shares,USA,NASDAQ,USD,Common Stock,
283,ANNX,Annexon Inc,USA,NASDAQ,USD,Common Stock,US03589W1027
284,ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,
285,ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,USA,NASDAQ,USD,Common Stock,
286,ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,USA,NASDAQ,USD,Common Stock,
287,ANSS,ANSYS Inc,USA,NASDAQ,USD,Common Stock,US03662Q1058
288,ANTE,Airnet Technology Inc,USA,NASDAQ,USD,Common Stock,US00941Q1040
289,ANTX,AN2 Therapeutics Inc,USA,NASDAQ,USD,Common Stock,
290,ANY,Sphere 3D Corp,USA,NASDAQ,USD,Common Stock,CA84841L3083
291,AOGO,Arogo Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0426441046
292,AOGOU,Arogo Capital Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US0426442036
293,AOGOW,Arogo Capital Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
294,AONC,American Oncology Network Inc.,USA,NASDAQ,USD,Common Stock,
295,AONCW,American Oncology Network Inc,USA,NASDAQ,USD,Common Stock,
296,AOSL,Alpha and Omega Semiconductor Ltd,USA,NASDAQ,USD,Common Stock,BMG6331P1041
297,AOTG,AOT Growth and Innovation ETF,USA,NASDAQ,USD,ETF,US02072L7304
298,AOUT,American Outdoor Brands Inc,USA,NASDAQ,USD,Common Stock,US02875D1090
299,APA,APA Corporation,USA,NASDAQ,USD,Common Stock,US03743Q1085
300,APAC,Stonebridge Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG850941033
301,APACU,Stonebridge Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG850941116
302,APACW,StoneBridge Acquisition Corporation Warrant,USA,NASDAQ,USD,Common Stock,
303,APCX,Apptech Corp,USA,NASDAQ,USD,Common Stock,US03834B3096
304,APCXW,AppTech Payments Corp. Warrant,USA,NASDAQ,USD,Common Stock,
305,APDN,Applied DNA Sciences Inc,USA,NASDAQ,USD,Common Stock,US03815U3005
306,APEI,American Public Education Inc,USA,NASDAQ,USD,Common Stock,US02913V1035
